Kod;Nazwa;MIESIAC;Rodzaj ;Cena_i_wska�niki;Rok;Wartosc;Jednostka_miary;Atrybut
0;POLSKA;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;192,3;zł;
0;POLSKA;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2019;194,75;zł;
0;POLSKA;maj;wizyta u lekarza specjalisty;cena;2006;52,02;zł;
0;POLSKA;maj;wizyta u lekarza specjalisty;cena;2007;54,26;zł;
0;POLSKA;maj;wizyta u lekarza specjalisty;cena;2008;59,14;zł;
0;POLSKA;maj;wizyta u lekarza specjalisty;cena;2009;62,94;zł;
0;POLSKA;maj;wizyta u lekarza specjalisty;cena;2010;68,03;zł;
0;POLSKA;maj;wizyta u lekarza specjalisty;cena;2011;72,67;zł;
0;POLSKA;maj;wizyta u lekarza specjalisty;cena;2012;77,84;zł;
0;POLSKA;maj;wizyta u lekarza specjalisty;cena;2013;81,88;zł;
0;POLSKA;maj;wizyta u lekarza specjalisty;cena;2014;86,17;zł;
0;POLSKA;maj;wizyta u lekarza specjalisty;cena;2015;89,04;zł;
0;POLSKA;maj;wizyta u lekarza specjalisty;cena;2016;92,58;zł;
0;POLSKA;maj;wizyta u lekarza specjalisty;cena;2017;97,51;zł;
0;POLSKA;maj;wizyta u lekarza specjalisty;cena;2018;103,25;zł;
0;POLSKA;maj;wizyta u lekarza specjalisty;cena;2019;111,58;zł;
0;POLSKA;maj;olej napędowy - za 1l;cena;2006;;zł;
0;POLSKA;maj;olej napędowy - za 1l;cena;2007;;zł;
0;POLSKA;maj;olej napędowy - za 1l;cena;2008;;zł;
0;POLSKA;maj;olej napędowy - za 1l;cena;2009;;zł;
0;POLSKA;maj;olej napędowy - za 1l;cena;2010;;zł;
0;POLSKA;maj;olej napędowy - za 1l;cena;2011;;zł;
0;POLSKA;maj;olej napędowy - za 1l;cena;2012;;zł;
0;POLSKA;maj;olej napędowy - za 1l;cena;2013;5,36;zł;
0;POLSKA;maj;olej napędowy - za 1l;cena;2014;5,36;zł;
0;POLSKA;maj;olej napędowy - za 1l;cena;2015;4,73;zł;
0;POLSKA;maj;olej napędowy - za 1l;cena;2016;4,09;zł;
0;POLSKA;maj;olej napędowy - za 1l;cena;2017;4,45;zł;
0;POLSKA;maj;olej napędowy - za 1l;cena;2018;5;zł;
0;POLSKA;maj;olej napędowy - za 1l;cena;2019;5,21;zł;
200000;DOLNOSLASKIE;maj;bułka pszenna - za 50g;cena;2006;0,33;zł;
200000;DOLNOSLASKIE;maj;bułka pszenna - za 50g;cena;2007;0,37;zł;
200000;DOLNOSLASKIE;maj;bułka pszenna - za 50g;cena;2008;0,45;zł;
200000;DOLNOSLASKIE;maj;bułka pszenna - za 50g;cena;2009;0,43;zł;
200000;DOLNOSLASKIE;maj;bułka pszenna - za 50g;cena;2010;0,44;zł;
200000;DOLNOSLASKIE;maj;bułka pszenna - za 50g;cena;2011;0,5;zł;
200000;DOLNOSLASKIE;maj;bułka pszenna - za 50g;cena;2012;0,51;zł;
200000;DOLNOSLASKIE;maj;bułka pszenna - za 50g;cena;2013;0,51;zł;
